depth	age	Mg/Ca	Sr/Ca	
19.920	8967.664	34.177	0.335	
19.920	8967.547	26.179	0.253	
19.920	8967.430	40.601	0.352	
19.920	8967.314	40.150	0.352	
19.920	8967.197	40.507	0.420	
19.919	8967.080	75.646	0.414	
19.919	8966.964	69.329	0.435	
19.919	8966.847	38.350	0.420	
19.919	8966.731	50.650	0.463	
19.919	8966.614	40.853	0.366	
19.919	8966.498	65.965	0.375	
19.919	8966.382	43.748	0.405	
19.919	8966.265	49.448	0.422	
19.919	8966.149	36.713	0.409	
19.919	8966.033	47.776	0.452	
19.919	8965.917	48.003	0.409	
19.919	8965.801	45.181	0.372	
19.919	8965.686	44.465	0.416	
19.918	8965.570	45.367	0.547	
19.918	8965.454	53.490	0.466	
19.918	8965.339	33.234	0.391	
19.918	8965.223	46.334	0.343	
19.918	8965.107	43.128	0.382	
19.918	8964.992	41.482	0.417	
19.918	8964.877	50.466	0.444	
19.918	8964.761	44.532	0.456	
19.918	8964.646	42.453	0.369	
19.918	8964.531	45.635	0.358	
19.918	8964.416	46.567	0.371	
19.918	8964.301	42.645	0.376	
19.918	8964.186	36.764	0.405	
19.918	8964.071	41.300	0.351	
19.917	8963.956	44.317	0.355	
19.917	8963.842	43.901	0.394	
19.917	8963.727	37.829	0.337	
19.917	8963.613	42.170	0.370	
19.917	8963.498	41.313	0.347	
19.917	8963.384	44.309	0.403	
19.917	8963.269	39.814	0.349	
19.917	8963.155	47.068	0.476	
19.917	8963.041	47.157	0.434	
19.917	8962.927	38.718	0.315	
19.917	8962.812	45.272	0.314	
19.917	8962.698	48.189	0.453	
19.917	8962.584	38.738	0.393	
19.916	8962.471	50.125	0.493	
19.916	8962.357	35.551	0.376	
19.916	8962.243	47.608	0.444	
19.916	8962.129	49.275	0.386	
19.916	8962.016	56.395	0.335	
19.916	8961.902	41.363	0.395	
19.916	8961.789	35.116	0.336	
19.916	8961.675	35.395	0.301	
19.916	8961.562	53.560	0.408	
19.916	8961.449	30.812	0.407	
19.916	8961.336	41.114	0.372	
19.916	8961.222	46.945	0.468	
19.916	8961.109	37.236	0.394	
19.916	8960.996	37.765	0.351	
19.915	8960.883	36.156	0.362	
19.915	8960.771	51.098	0.398	
19.915	8960.658	53.018	0.313	
19.915	8960.545	46.623	0.391	
19.915	8960.432	35.422	0.402	
19.915	8960.320	45.567	0.379	
19.915	8960.207	38.305	0.405	
19.915	8960.095	39.547	0.387	
19.915	8959.982	39.723	0.356	
19.915	8959.870	41.747	0.342	
19.915	8959.758	43.356	0.388	
19.915	8959.646	51.787	0.361	
19.915	8959.534	40.269	0.351	
19.914	8959.422	38.960	0.364	
19.914	8959.310	47.520	0.372	
19.914	8959.198	41.996	0.409	
19.914	8959.086	47.386	0.415	
19.914	8958.974	50.890	0.387	
19.914	8958.862	49.264	0.429	
19.914	8958.751	37.412	0.375	
19.914	8958.639	40.183	0.334	
19.914	8958.528	42.937	0.348	
19.914	8958.416	42.487	0.363	
19.914	8958.305	40.779	0.346	
19.914	8958.194	38.397	0.347	
19.914	8958.083	39.958	0.385	
19.913	8957.971	41.370	0.356	
19.913	8957.860	53.285	0.317	
19.913	8957.749	38.205	0.348	
19.913	8957.638	45.171	0.396	
19.913	8957.527	41.738	0.401	
19.913	8957.417	40.417	0.361	
19.913	8957.306	39.530	0.330	
19.913	8957.195	46.275	0.430	
19.913	8957.085	42.431	0.326	
19.913	8956.974	43.786	0.402	
19.913	8956.864	42.677	0.392	
19.913	8956.753	46.907	0.403	
19.913	8956.643	44.768	0.332	
19.913	8956.533	46.896	0.454	
19.912	8956.422	44.463	0.362	
19.912	8956.312	42.654	0.364	
19.912	8956.202	42.678	0.398	
19.912	8956.092	45.110	0.370	
19.912	8955.982	43.390	0.363	
19.912	8955.872	40.203	0.350	
19.912	8955.762	43.756	0.355	
19.912	8955.653	43.389	0.418	
19.912	8955.543	35.526	0.331	
19.912	8955.433	40.832	0.388	
19.912	8955.324	42.940	0.350	
19.912	8955.214	42.058	0.435	
19.912	8955.105	41.572	0.353	
19.911	8954.996	35.260	0.330	
19.911	8954.886	41.626	0.350	
19.911	8954.777	42.055	0.339	
19.911	8954.668	44.182	0.407	
19.911	8954.559	41.122	0.365	
19.911	8954.450	41.462	0.350	
19.911	8954.341	46.630	0.409	
19.911	8954.232	34.976	0.348	
19.911	8954.123	42.727	0.397	
19.911	8954.015	48.898	0.439	
19.911	8953.906	37.638	0.380	
19.911	8953.797	35.267	0.347	
19.911	8953.689	38.002	0.355	
19.911	8953.580	44.441	0.389	
19.910	8953.472	40.453	0.350	
19.910	8953.364	47.503	0.377	
19.910	8953.255	39.741	0.372	
19.910	8953.147	44.028	0.365	
19.910	8953.039	41.821	0.404	
19.910	8952.931	41.002	0.442	
19.910	8952.823	39.631	0.339	
19.910	8952.715	44.449	0.369	
19.910	8952.607	45.239	0.369	
19.910	8952.499	44.131	0.355	
19.910	8952.392	49.052	0.408	
19.910	8952.284	47.988	0.406	
19.910	8952.176	47.310	0.378	
19.909	8952.069	43.910	0.350	
19.909	8951.961	45.197	0.347	
19.909	8951.854	44.410	0.381	
19.909	8951.746	38.804	0.530	
19.909	8951.639	44.310	0.356	
19.909	8951.532	47.384	0.378	
19.909	8951.425	51.388	0.374	
19.909	8951.318	44.318	0.393	
19.909	8951.211	35.433	0.361	
19.909	8951.104	40.826	0.420	
19.909	8950.997	41.165	0.356	
19.909	8950.890	43.189	0.397	
19.909	8950.783	45.326	0.395	
19.908	8950.677	40.415	0.371	
19.908	8950.570	45.126	0.380	
19.908	8950.463	49.364	0.426	
19.908	8950.357	41.783	0.370	
19.908	8950.251	45.855	0.401	
19.908	8950.144	41.148	0.333	
19.908	8950.038	42.305	0.368	
19.908	8949.932	47.786	0.366	
19.908	8949.825	47.151	0.368	
19.908	8949.719	44.649	0.419	
19.908	8949.613	37.462	0.347	
19.908	8949.507	43.396	0.341	
19.908	8949.401	56.489	0.366	
19.908	8949.296	48.326	0.388	
19.907	8949.190	41.180	0.331	
19.907	8949.084	46.245	0.391	
19.907	8948.978	33.829	0.311	
19.907	8948.873	50.773	0.411	
19.907	8948.767	46.113	0.407	
19.907	8948.662	53.328	0.382	
19.907	8948.556	48.983	0.356	
19.907	8948.451	45.741	0.374	
19.907	8948.346	41.622	0.346	
19.907	8948.241	44.067	0.411	
19.907	8948.136	39.431	0.377	
19.907	8948.031	45.602	0.370	
19.907	8947.926	45.382	0.364	
19.906	8947.821	48.130	0.350	
19.906	8947.716	42.119	0.407	
19.906	8947.611	39.516	0.375	
19.906	8947.506	33.474	0.327	
19.906	8947.401	42.869	0.401	
19.906	8947.297	49.339	0.365	
19.906	8947.192	50.805	0.371	
19.906	8947.088	41.137	0.358	
19.906	8946.983	50.957	0.410	
19.906	8946.879	42.067	0.331	
19.906	8946.775	46.175	0.359	
19.906	8946.671	39.898	0.348	
19.906	8946.566	48.900	0.365	
19.906	8946.462	35.320	0.301	
19.905	8946.358	53.533	0.401	
19.905	8946.254	30.086	0.307	
19.905	8946.150	42.306	0.394	
19.905	8946.047	46.108	0.356	
19.905	8945.943	48.757	0.420	
19.905	8945.839	35.259	0.348	
19.905	8945.735	40.585	0.353	
19.905	8945.632	40.548	0.337	
19.905	8945.528	43.967	0.315	
19.905	8945.425	44.403	0.373	
19.905	8945.321	34.022	0.289	
19.905	8945.218	43.873	0.340	
19.905	8945.115	57.418	0.443	
19.904	8945.012	40.080	0.364	
19.904	8944.909	45.609	0.397	
19.904	8944.805	43.008	0.371	
19.904	8944.702	44.291	0.400	
19.904	8944.599	42.033	0.331	
19.904	8944.497	57.367	0.520	
19.904	8944.394	46.592	0.296	
19.904	8944.291	32.504	0.285	
19.904	8944.188	38.609	0.345	
19.904	8944.086	38.446	0.296	
19.904	8943.983	44.845	0.363	
19.904	8943.881	33.171	0.308	
19.904	8943.778	42.203	0.325	
19.904	8943.676	33.811	0.252	
19.903	8943.574	45.574	0.387	
19.903	8943.471	41.015	0.323	
19.903	8943.369	49.343	0.404	
19.903	8943.267	42.353	0.315	
19.903	8943.165	44.044	0.331	
19.903	8943.063	40.928	0.418	
19.903	8942.961	50.191	0.474	
19.903	8942.859	41.665	0.335	
19.903	8942.757	45.630	0.363	
19.903	8942.656	44.152	0.336	
19.903	8942.554	43.064	0.343	
19.903	8942.452	35.066	0.284	
19.903	8942.351	46.526	0.539	
19.902	8942.249	44.015	0.324	
19.902	8942.148	43.616	0.388	
19.902	8942.046	36.430	0.393	
19.902	8941.945	53.597	0.323	
19.902	8941.844	48.575	0.406	
19.902	8941.743	39.493	0.334	
19.902	8941.642	40.668	0.284	
19.902	8941.541	52.365	0.356	
19.902	8941.440	41.692	0.343	
19.902	8941.339	41.175	0.463	
19.902	8941.238	50.036	0.341	
19.902	8941.137	42.292	0.389	
19.902	8941.036	32.070	0.268	
19.901	8940.936	44.386	0.403	
19.901	8940.835	39.186	0.336	
19.901	8940.734	51.837	0.458	
19.901	8940.634	38.151	0.339	
19.901	8940.533	39.826	0.390	
19.901	8940.433	42.501	0.358	
19.901	8940.333	41.733	0.372	
19.901	8940.233	48.885	0.333	
19.901	8940.132	41.585	0.392	
19.901	8940.032	48.618	0.312	
19.901	8939.932	37.412	0.293	
19.901	8939.832	43.525	0.374	
19.901	8939.732	39.381	0.326	
19.901	8939.632	43.042	0.513	
19.900	8939.533	40.283	0.370	
19.900	8939.433	45.343	0.387	
19.900	8939.333	40.741	0.357	
19.900	8939.234	39.737	0.352	
19.900	8939.134	45.216	0.331	
19.900	8939.034	41.263	0.357	
19.900	8938.935	47.262	0.372	
19.900	8938.836	43.252	0.336	
19.900	8938.736	39.649	0.378	
19.900	8938.637	44.762	0.339	
19.900	8938.538	50.084	0.350	
19.900	8938.439	44.383	0.392	
19.900	8938.340	41.229	0.333	
19.899	8938.241	45.765	0.372	
19.899	8938.142	34.192	0.277	
19.899	8938.043	42.927	0.367	
19.899	8937.944	43.947	0.357	
19.899	8937.845	44.846	0.366	
19.899	8937.747	35.802	0.333	
19.899	8937.648	48.198	0.355	
19.899	8937.549	44.347	0.371	
19.899	8937.451	46.769	0.450	
19.899	8937.352	39.802	0.332	
19.899	8937.254	45.285	0.317	
19.899	8937.156	40.877	0.356	
19.899	8937.057	53.291	0.403	
19.899	8936.959	39.932	0.341	
19.898	8936.861	46.409	0.312	
19.898	8936.763	40.411	0.359	
19.898	8936.665	48.382	0.453	
19.898	8936.567	39.378	0.298	
19.898	8936.469	53.717	0.363	
19.898	8936.371	38.510	0.306	
19.898	8936.274	41.136	0.357	
19.898	8936.176	40.376	0.300	
19.898	8936.078	45.135	0.327	
19.898	8935.981	41.990	0.281	
19.898	8935.883	42.719	0.384	
19.898	8935.786	42.203	0.306	
19.898	8935.688	47.397	0.351	
19.897	8935.591	37.927	0.332	
19.897	8935.493	42.216	0.342	
19.897	8935.396	37.153	0.284	
19.897	8935.299	44.866	0.315	
19.897	8935.202	41.632	0.326	
19.897	8935.105	44.876	0.336	
19.897	8935.008	43.987	0.353	
19.897	8934.911	44.012	0.356	
19.897	8934.814	44.784	0.329	
19.897	8934.717	42.038	0.352	
19.897	8934.621	39.767	0.272	
19.897	8934.524	48.928	0.348	
19.897	8934.427	46.206	0.329	
19.896	8934.331	44.518	0.368	
19.896	8934.234	42.320	0.338	
19.896	8934.138	42.308	0.325	
19.896	8934.041	44.796	0.342	
19.896	8933.945	44.005	0.310	
19.896	8933.849	44.029	0.390	
19.896	8933.753	48.386	0.381	
19.896	8933.656	47.755	0.352	
19.896	8933.560	37.578	0.331	
19.896	8933.464	48.448	0.369	
19.896	8933.368	38.176	0.327	
19.896	8933.272	54.512	0.382	
19.896	8933.177	37.117	0.295	
19.896	8933.081	47.640	0.370	
19.895	8932.985	42.512	0.356	
19.895	8932.889	57.625	0.471	
19.895	8932.794	42.723	0.346	
19.895	8932.698	39.493	0.370	
19.895	8932.603	41.423	0.341	
19.895	8932.507	60.582	0.442	
19.895	8932.412	37.783	0.292	
19.895	8932.317	49.168	0.376	
19.895	8932.221	48.588	0.364	
19.895	8932.126	44.811	0.356	
19.895	8932.031	42.899	0.368	
19.895	8931.936	38.459	0.383	
19.895	8931.841	42.876	0.270	
19.894	8931.746	45.285	0.397	
19.894	8931.651	48.833	0.292	
19.894	8931.556	46.753	0.426	
19.894	8931.462	41.504	0.318	
19.894	8931.367	52.323	0.342	
19.894	8931.272	38.207	0.353	
19.894	8931.178	40.252	0.337	
19.894	8931.083	43.512	0.327	
19.894	8930.989	41.750	0.319	
19.894	8930.894	50.862	0.321	
19.894	8930.800	49.075	0.364	
19.894	8930.706	43.559	0.321	
19.894	8930.611	53.354	0.347	
19.894	8930.517	53.098	0.403	
19.893	8930.423	33.445	0.279	
19.893	8930.329	43.449	0.344	
19.893	8930.235	36.115	0.294	
19.893	8930.141	33.531	0.345	
19.893	8930.047	35.565	0.228	
19.893	8929.953	38.329	0.369	
19.893	8929.860	36.205	0.317	
19.893	8929.766	45.644	0.358	
19.893	8929.672	42.702	0.328	
19.893	8929.579	38.304	0.221	
19.893	8929.485	47.633	0.376	
19.893	8929.392	41.290	0.334	
19.893	8929.298	36.656	0.327	
19.892	8929.205	44.792	0.333	
19.892	8929.111	42.732	0.297	
19.892	8929.018	39.655	0.355	
19.892	8928.925	49.946	0.386	
19.892	8928.832	49.650	0.338	
19.892	8928.739	37.897	0.302	
19.892	8928.646	41.989	0.362	
19.892	8928.553	44.044	0.325	
19.892	8928.460	40.978	0.364	
19.892	8928.367	41.290	0.374	
19.892	8928.274	46.272	0.323	
19.892	8928.182	44.342	0.336	
19.892	8928.089	46.149	0.342	
19.892	8927.996	36.792	0.336	
19.891	8927.904	42.030	0.302	
19.891	8927.811	36.273	0.284	
19.891	8927.719	40.894	0.344	
19.891	8927.627	48.934	0.331	
19.891	8927.534	48.631	0.368	
19.891	8927.442	49.081	0.365	
19.891	8927.350	42.422	0.303	
19.891	8927.258	46.374	0.331	
19.891	8927.166	48.873	0.396	
19.891	8927.074	38.780	0.291	
19.891	8926.982	46.020	0.346	
19.891	8926.890	46.667	0.390	
19.891	8926.798	49.192	0.384	
19.890	8926.706	41.455	0.308	
19.890	8926.614	42.744	0.345	
19.890	8926.523	45.176	0.338	
19.890	8926.431	49.382	0.313	
19.890	8926.340	50.699	0.370	
19.890	8926.248	39.192	0.343	
19.890	8926.157	42.951	0.341	
19.890	8926.065	43.125	0.265	
19.890	8925.974	48.755	0.354	
19.890	8925.883	36.960	0.290	
19.890	8925.791	34.944	0.309	
19.890	8925.700	44.903	0.326	
19.890	8925.609	45.588	0.364	
19.889	8925.518	41.181	0.345	
19.889	8925.427	51.141	0.332	
19.889	8925.336	34.842	0.319	
19.889	8925.245	49.964	0.311	
19.889	8925.154	44.659	0.310	
19.889	8925.064	37.580	0.321	
19.889	8924.973	42.417	0.368	
19.889	8924.882	35.248	0.260	
19.889	8924.792	38.167	0.319	
19.889	8924.701	54.283	0.344	
19.889	8924.611	41.422	0.381	
19.889	8924.520	50.096	0.405	
19.889	8924.430	53.842	0.408	
19.889	8924.340	32.180	0.304	
19.888	8924.249	59.203	0.473	
19.888	8924.159	42.285	0.376	
19.888	8924.069	45.123	0.297	
19.888	8923.979	41.890	0.353	
19.888	8923.889	47.529	0.336	
19.888	8923.799	42.276	0.286	
19.888	8923.709	47.565	0.350	
19.888	8923.619	45.658	0.359	
19.888	8923.530	47.815	0.269	
19.888	8923.440	53.542	0.364	
19.888	8923.350	45.222	0.303	
19.888	8923.261	47.981	0.411	
19.888	8923.171	45.552	0.414	
19.887	8923.081	47.678	0.373	
19.887	8922.992	47.549	0.373	
19.887	8922.903	48.192	0.359	
19.887	8922.813	39.553	0.284	
19.887	8922.724	45.790	0.342	
19.887	8922.635	35.973	0.415	
19.887	8922.546	40.275	0.336	
19.887	8922.456	58.173	0.350	
19.887	8922.367	53.585	0.425	
19.887	8922.278	42.428	0.313	
19.887	8922.189	39.061	0.330	
19.887	8922.101	47.300	0.284	
19.887	8922.012	61.794	0.461	
19.887	8921.923	53.347	0.400	
19.886	8921.834	45.518	0.364	
19.886	8921.746	42.915	0.332	
19.886	8921.657	35.468	0.250	
19.886	8921.568	45.980	0.275	
19.886	8921.480	40.724	0.324	
19.886	8921.391	43.416	0.354	
19.886	8921.303	46.495	0.411	
19.886	8921.215	48.292	0.344	
19.886	8921.126	41.529	0.344	
19.886	8921.038	48.795	0.403	
19.886	8920.950	47.870	0.301	
19.886	8920.862	50.043	0.317	
19.886	8920.774	48.035	0.340	
19.885	8920.686	42.728	0.334	
19.885	8920.598	41.092	0.343	
19.885	8920.510	41.097	0.377	
19.885	8920.422	36.054	0.325	
19.885	8920.334	41.608	0.338	
19.885	8920.247	53.071	0.449	
19.885	8920.159	42.177	0.303	
19.885	8920.071	47.230	0.348	
19.885	8919.984	43.108	0.344	
19.885	8919.896	51.556	0.415	
19.885	8919.809	37.809	0.261	
19.885	8919.722	50.013	0.455	
19.885	8919.634	44.455	0.340	
19.884	8919.547	40.423	0.339	
19.884	8919.460	41.700	0.332	
19.884	8919.373	52.343	0.403	
19.884	8919.285	39.071	0.333	
19.884	8919.198	38.477	0.337	
19.884	8919.111	48.366	0.351	
19.884	8919.024	48.451	0.381	
19.884	8918.938	44.682	0.380	
19.884	8918.851	43.429	0.364	
19.884	8918.764	40.628	0.324	
19.884	8918.677	46.971	0.368	
19.884	8918.590	40.106	0.383	
19.884	8918.504	36.831	0.290	
19.884	8918.417	40.538	0.368	
19.883	8918.331	41.270	0.321	
19.883	8918.244	38.009	0.313	
19.883	8918.158	43.555	0.344	
19.883	8918.072	39.908	0.276	
19.883	8917.985	45.381	0.363	
19.883	8917.899	41.320	0.355	
19.883	8917.813	46.466	0.380	
19.883	8917.727	40.514	0.362	
19.883	8917.641	44.630	0.355	
19.883	8917.555	35.079	0.286	
19.883	8917.469	40.323	0.313	
19.883	8917.383	42.728	0.348	
19.883	8917.297	41.102	0.345	
19.882	8917.211	38.787	0.311	
19.882	8917.125	46.405	0.360	
19.882	8917.040	38.405	0.342	
19.882	8916.954	43.948	0.377	
19.882	8916.868	38.767	0.321	
19.882	8916.783	47.522	0.398	
19.882	8916.697	50.532	0.346	
19.882	8916.612	49.176	0.367	
19.882	8916.527	44.582	0.364	
19.882	8916.441	44.070	0.347	
19.882	8916.356	37.640	0.300	
19.882	8916.271	54.711	0.401	
19.882	8916.186	38.492	0.320	
19.882	8916.100	45.786	0.376	
19.881	8916.015	37.958	0.383	
19.881	8915.930	40.310	0.353	
19.881	8915.845	43.883	0.306	
19.881	8915.761	42.066	0.392	
19.881	8915.676	37.122	0.313	
19.881	8915.591	39.164	0.373	
19.881	8915.506	47.815	0.382	
19.881	8915.422	40.718	0.344	
19.881	8915.337	36.313	0.356	
19.881	8915.252	47.374	0.340	
19.881	8915.168	45.028	0.376	
19.881	8915.083	41.815	0.363	
19.881	8914.999	40.999	0.347	
19.880	8914.915	41.680	0.326	
19.880	8914.830	49.322	0.349	
19.880	8914.746	46.045	0.369	
19.880	8914.662	41.711	0.372	
19.880	8914.578	44.203	0.380	
19.880	8914.494	44.215	0.334	
19.880	8914.410	42.874	0.375	
19.880	8914.326	43.093	0.325	
19.880	8914.242	38.200	0.316	
19.880	8914.158	44.606	0.373	
19.880	8914.074	45.797	0.386	
19.880	8913.990	40.185	0.352	
19.880	8913.907	41.938	0.359	
19.880	8913.823	40.225	0.380	
19.879	8913.739	49.728	0.417	
19.879	8913.656	38.867	0.392	
19.879	8913.572	39.386	0.367	
19.879	8913.489	38.296	0.327	
19.879	8913.405	47.026	0.343	
19.879	8913.322	46.835	0.347	
19.879	8913.239	40.815	0.351	
19.879	8913.155	41.277	0.339	
19.879	8913.072	45.614	0.410	
19.879	8912.989	41.348	0.312	
19.879	8912.906	48.346	0.364	
19.879	8912.823	38.994	0.333	
19.879	8912.740	42.325	0.348	
19.878	8912.657	46.339	0.324	
19.878	8912.574	39.337	0.340	
19.878	8912.491	39.785	0.341	
19.878	8912.409	46.533	0.329	
19.878	8912.326	42.154	0.351	
19.878	8912.243	43.264	0.347	
19.878	8912.161	44.175	0.323	
19.878	8912.078	43.665	0.349	
19.878	8911.996	43.821	0.361	
19.878	8911.913	41.776	0.350	
19.878	8911.831	41.171	0.332	
19.878	8911.748	47.569	0.346	
19.878	8911.666	29.278	0.272	
19.877	8911.584	38.019	0.331	
19.877	8911.502	34.425	0.308	
19.877	8911.419	37.446	0.289	
19.877	8911.337	39.667	0.267	
19.877	8911.255	53.888	0.405	
19.877	8911.173	37.805	0.308	
19.877	8911.091	40.645	0.342	
19.877	8911.009	41.146	0.332	
19.877	8910.928	37.790	0.410	
19.877	8910.846	39.913	0.317	
19.877	8910.764	44.771	0.346	
19.877	8910.682	37.785	0.385	
19.877	8910.601	44.840	0.316	
19.877	8910.519	46.081	0.388	
19.876	8910.438	40.369	0.320	
19.876	8910.356	41.849	0.398	
19.876	8910.275	42.608	0.336	
19.876	8910.193	48.692	0.409	
19.876	8910.112	36.835	0.318	
19.876	8910.031	47.799	0.399	
19.876	8909.950	34.901	0.310	
19.876	8909.869	41.780	0.332	
19.876	8909.787	44.482	0.331	
19.876	8909.706	41.114	0.319	
19.876	8909.625	34.487	0.292	
19.876	8909.544	47.575	0.380	
19.876	8909.463	40.783	0.379	
19.875	8909.383	42.575	0.316	
19.875	8909.302	40.230	0.318	
19.875	8909.221	51.289	0.323	
19.875	8909.140	38.830	0.279	
19.875	8909.060	41.156	0.332	
19.875	8908.979	42.807	0.354	
19.875	8908.899	37.682	0.309	
19.875	8908.818	40.287	0.351	
19.875	8908.738	38.009	0.301	
19.875	8908.657	41.487	0.360	
19.875	8908.577	37.516	0.379	
19.875	8908.497	44.755	0.354	
19.875	8908.416	38.606	0.289	
19.875	8908.336	46.929	0.371	
19.874	8908.256	37.168	0.327	
19.874	8908.176	38.553	0.344	
19.874	8908.096	39.725	0.325	
19.874	8908.016	42.795	0.349	
19.874	8907.936	39.940	0.346	
19.874	8907.856	33.742	0.364	
19.874	8907.776	38.107	0.308	
19.874	8907.696	41.185	0.334	
19.874	8907.617	32.940	0.298	
19.874	8907.537	44.613	0.319	
19.874	8907.457	35.728	0.271	
19.874	8907.378	41.953	0.322	
19.874	8907.298	38.517	0.295	
19.873	8907.219	43.024	0.320	
19.873	8907.139	38.297	0.340	
19.873	8907.060	51.829	0.333	
19.873	8906.981	31.291	0.272	
19.873	8906.901	41.116	0.344	
19.873	8906.822	36.090	0.283	
19.873	8906.743	47.814	0.351	
19.873	8906.664	35.332	0.325	
19.873	8906.585	40.421	0.322	
19.873	8906.506	29.591	0.275	
19.873	8906.427	41.858	0.332	
19.873	8906.348	32.828	0.277	
19.873	8906.269	45.524	0.323	
19.872	8906.190	38.126	0.312	
19.872	8906.111	40.541	0.328	
19.872	8906.032	40.278	0.326	
19.872	8905.954	43.545	0.400	
19.872	8905.875	42.456	0.401	
19.872	8905.796	35.627	0.289	
19.872	8905.718	42.726	0.372	
19.872	8905.639	40.026	0.337	
19.872	8905.561	38.420	0.340	
19.872	8905.483	38.615	0.352	
19.872	8905.404	37.206	0.416	
19.872	8905.326	40.979	0.356	
19.872	8905.248	44.519	0.421	
19.872	8905.170	31.866	0.346	
19.871	8905.091	43.252	0.393	
19.871	8905.013	42.918	0.371	
19.871	8904.935	46.988	0.372	
19.871	8904.857	39.443	0.328	
19.871	8904.779	37.215	0.419	
19.871	8904.701	35.128	0.326	
19.871	8904.624	39.158	0.397	
19.871	8904.546	39.735	0.470	
19.871	8904.468	41.967	0.406	
19.871	8904.390	40.952	0.358	
19.871	8904.313	45.664	0.436	
19.871	8904.235	50.170	0.353	
19.871	8904.158	41.303	0.429	
19.870	8904.080	37.601	0.346	
19.870	8904.003	50.215	0.453	
19.870	8903.925	41.056	0.345	
19.870	8903.848	49.020	0.379	
19.870	8903.771	32.262	0.318	
19.870	8903.693	43.971	0.401	
19.870	8903.616	36.500	0.385	
19.870	8903.539	42.882	0.398	
19.870	8903.462	42.851	0.436	
19.870	8903.385	39.120	0.403	
19.870	8903.308	41.755	0.374	
19.870	8903.231	44.786	0.394	
19.870	8903.154	38.135	0.353	
19.870	8903.077	38.109	0.401	
19.869	8903.000	41.975	0.411	
19.869	8902.923	40.872	0.382	
19.869	8902.847	43.568	0.353	
19.869	8902.770	40.955	0.394	
19.869	8902.693	39.302	0.354	
19.869	8902.617	40.824	0.355	
19.869	8902.540	40.840	0.379	
19.869	8902.464	41.145	0.401	
19.869	8902.387	37.869	0.325	
19.869	8902.311	41.266	0.353	
19.869	8902.235	43.020	0.353	
19.869	8902.158	48.299	0.369	
19.869	8902.082	37.000	0.393	
19.868	8902.006	37.741	0.357	
19.868	8901.930	42.613	0.418	
19.868	8901.854	40.288	0.431	
19.868	8901.778	46.982	0.396	
19.868	8901.702	46.189	0.414	
19.868	8901.626	38.086	0.340	
19.868	8901.550	42.009	0.383	
19.868	8901.474	39.177	0.366	
19.868	8901.398	39.505	0.368	
19.868	8901.322	36.265	0.337	
19.868	8901.247	34.009	0.322	
19.868	8901.171	42.486	0.345	
19.868	8901.095	32.003	0.332	
19.868	8901.020	49.624	0.367	
19.867	8900.944	42.262	0.382	
19.867	8900.869	48.115	0.390	
19.867	8900.793	44.614	0.381	
19.867	8900.718	40.317	0.374	
19.867	8900.643	38.078	0.394	
19.867	8900.567	43.550	0.406	
19.867	8900.492	38.634	0.400	
19.867	8900.417	43.667	0.378	
19.867	8900.342	41.604	0.357	
19.867	8900.267	52.446	0.449	
19.867	8900.192	36.008	0.344	
19.867	8900.117	42.506	0.355	
19.867	8900.042	38.295	0.416	
19.866	8899.967	40.300	0.350	
19.866	8899.892	41.023	0.392	
19.866	8899.817	36.532	0.379	
19.866	8899.742	45.486	0.410	
19.866	8899.668	40.034	0.339	
19.866	8899.593	35.674	0.349	
19.866	8899.518	36.079	0.343	
19.866	8899.444	37.458	0.361	
19.866	8899.369	34.551	0.356	
19.866	8899.295	42.732	0.409	
19.866	8899.220	42.715	0.416	
19.866	8899.146	41.534	0.377	
19.866	8899.072	37.031	0.337	
19.865	8898.997	43.060	0.353	
19.865	8898.923	41.950	0.355	
19.865	8898.849	42.600	0.398	
19.865	8898.775	38.495	0.371	
19.865	8898.701	37.708	0.421	
19.865	8898.626	36.264	0.354	
19.865	8898.552	38.303	0.388	
19.865	8898.478	48.241	0.423	
19.865	8898.405	37.593	0.345	
19.865	8898.331	45.751	0.421	
19.865	8898.257	41.653	0.449	
19.865	8898.183	43.726	0.381	
19.865	8898.109	37.287	0.372	
19.865	8898.036	41.300	0.394	
19.864	8897.962	51.475	0.447	
19.864	8897.888	42.490	0.345	
19.864	8897.815	43.496	0.405	
19.864	8897.741	38.626	0.401	
19.864	8897.668	36.112	0.360	
19.864	8897.594	34.567	0.331	
19.864	8897.521	42.874	0.407	
19.864	8897.448	35.985	0.314	
19.864	8897.375	35.838	0.341	
19.864	8897.301	39.018	0.395	
19.864	8897.228	40.267	0.423	
19.864	8897.155	39.424	0.399	
19.864	8897.082	35.689	0.362	
19.863	8897.009	35.550	0.337	
19.863	8896.936	40.442	0.424	
19.863	8896.863	42.507	0.379	
19.863	8896.790	42.649	0.386	
19.863	8896.717	40.825	0.425	
19.863	8896.644	36.091	0.374	
19.863	8896.572	44.108	0.348	
19.863	8896.499	40.818	0.439	
19.863	8896.426	43.033	0.463	
19.863	8896.354	36.504	0.373	
19.863	8896.281	37.902	0.341	
19.863	8896.208	41.151	0.352	
19.863	8896.136	38.496	0.297	
19.863	8896.063	39.533	0.460	
19.862	8895.991	40.855	0.348	
19.862	8895.919	40.340	0.408	
19.862	8895.846	41.465	0.446	
19.862	8895.774	36.647	0.328	
19.862	8895.702	42.702	0.328	
19.862	8895.630	38.550	0.331	
